carat,cut,color,clarity,depth,table,price,measurements
1.12,Excellent,F,SI2,58.9,59.0,"$4,500",6.83x6.88x4.04 mm
1.50,Excellent,K,SI1,63.2,57.0,"$4,400",7.25x7.29x4.59 mm
1.01,Excellent,E,VS2,60.2,60.0,"$5,190",6.45x6.49x3.9 mm
1.50,Excellent,H,SI2,62.8,57.0,"$6,710",7.24x7.31x4.57 mm
1.00,Excellent,G,VVS2,63.0,56.0,"$4,760",6.35x6.38x4.01 mm
1.01,Excellent,F,VS1,62.7,57.0,"$5,730",6.36x6.39x4 mm
1.00,Very Good,G,VS1,63.7,60.0,"$4,510",6.25x6.3x4 mm
1.50,Excellent,J,VS2,62.5,58.0,"$5,760",7.24x7.3x4.55 mm
0.85,Excellent,F,VVS1,61.9,57.0,"$6,320",6.06x6.11x3.77 mm
0.90,Excellent,E,VVS1,63.2,57.0,"$6,000",6.11x6.15x3.88 mm
0.91,Excellent,E,VVS1,62.4,56.0,"$6,110",6.18x6.21x3.86 mm
1.54,Excellent,J,SI2,61.5,59.0,"$4,968",7.39x7.41x4.55 mm
1.50,Excellent,I,SI2,62.4,57.0,"$7,920",7.29x7.31x4.55 mm
1.23,Excellent,G,VS1,58.8,59.0,"$9,920",7.02x7.05x4.14 mm
1.31,Excellent,J,VS1,61.9,55.0,"$4,710",7.01x7.04x4.35 mm
1.27,Excellent,J,VVS1,61.8,56.0,"$4,490",6.93x6.97x4.3 mm
1.51,Excellent,J,VS1,61.3,58.0,"$7,470",7.36x7.4x4.52 mm
1.10,Excellent,H,VS2,62.8,57.0,"$5,400",6.56x6.6x4.13 mm
1.01,Excellent,F,SI1,59.2,61.0,,6.52x6.54x3.87 mm
1.73,Excellent,H,SI2,62.8,56.0,"$9,060",7.59x7.64x4.79 mm
1.01,Very Good,D,VS2,62.9,56.0,"$5,670",6.37x6.4x4.02 mm
0.96,Excellent,H,VVS1,61.1,59.0,"$4,250",6.31x6.35x3.87 mm
1.02,Excellent,H,VS1,61.9,58.0,"$4,140",6.39x6.44x3.97 mm
0.90,Excellent,E,FL,59.4,59.0,"$7,916",6.34x6.38x3.78 mm
1.51,Excellent,K,SI2,60.8,59.0,"$4,350",7.35x7.4x4.48 mm
1.32,Excellent,I,VS2,62.4,56.0,"$8,620",7.03x6.98x4.37 mm
1.00,Very Good,G,VVS1,64.4,54.0,"$5,000",6.18x6.25x4 mm
1.21,Excellent,H,VVS2,62.5,58.0,"$7,070",6.77x6.8x4.25 mm
1.06,Excellent,H,VVS2,62.8,56.0,"$5,310",6.51x6.53x4.09 mm
1.03,Excellent,G,VVS2,61.9,57.0,"$7,330",6.49x6.51x4.02 mm
1.04,Excellent,G,VVS2,62.7,57.0,"$7,300",6.42x6.45x4.04 mm
1.21,Excellent,H,VVS1,62.5,57.0,"$7,530",6.74x6.78x4.22 mm
0.91,Excellent,G,VVS2,62.8,57.0,"$6,000",6.14x6.2x3.87 mm
1.20,Excellent,E,SI2,62.1,58.0,"$5,724",6.74x6.79x4.2 mm
0.90,Excellent,G,VVS1,62.1,55.0,"$4,210",6.17x6.21x3.84 mm
1.50,Very Good,D,SI2,62.8,63.0,"$9,190",7.19x7.23x4.53 mm
1.01,Excellent,H,VS1,59.9,59.0,"$6,980",6.5x6.51x3.9 mm
1.07,Excellent,G,VS2,62.7,57.0,"$7,980",6.49x6.5x4.07 mm
0.90,Very Good,D,VVS2,61.9,58.0,"$7,020",6.15x6.17x3.81 mm
1.70,Excellent,J,VS2,,,"$7,740",
1.03,Excellent,F,VVS1,62.5,58.0,"$7,260",6.4x6.44x4.02 mm
1.03,Excellent,E,VS2,59.6,60.0,"$6,420",6.59x6.63x3.94 mm
1.01,Very Good,F,SI1,62.7,58.0,"$5,810",6.39x6.44x4.02 mm
1.54,Excellent,J,IF,60.2,59.0,"$7,960",7.47x7.49x4.5 mm
1.50,Excellent,I,VVS2,60.7,60.0,"$7,680",7.38x7.41x4.49 mm
1.21,Very Good,E,SI2,64.8,57.0,"$4,750",6.59x6.66x4.29 mm
1.01,Excellent,E,SI2,61.9,60.0,"$4,170",6.42x6.44x3.98 mm
1.01,Very Good,G,VS2,59.1,64.0,"$6,830",6.52x6.56x3.87 mm
1.22,Excellent,I,VS1,61.8,56.0,"$8,080",6.84x6.87x4.24 mm
0.90,Excellent,G,VS1,61.0,55.0,"$5,510",6.21x6.25x3.8 mm
0.80,Excellent,D,VVS1,62.7,56.0,"$5,050",5.88x5.91x3.7 mm
1.50,Very Good,I,SI2,64.1,56.0,"$6,440",7.19x7.23x4.62 mm
1.50,Excellent,G,SI2,61.2,60.0,"$8,720",7.29x7.34x4.47 mm
1.00,Very Good,D,VS2,63.3,59.0,"$5,610",6.26x6.31x3.98 mm
1.12,Excellent,H,VS2,62.0,58.0,"$8,140",6.65x6.68x4.13 mm
0.91,Excellent,D,VS1,62.7,55.0,"$4,980",6.14x6.17x3.86 mm
1.80,Excellent,J,SI1,63.3,56.0,"$8,500",7.67x7.73x4.88 mm
1.08,Excellent,E,VVS2,60.5,60.0,"$7,980",6.6x6.64x4.01 mm
1.01,Excellent,K,VS1,62.5,58.0,"$4,090",6.37x6.42x4 mm
1.01,Excellent,J,VS1,61.9,60.0,"$5,300",6.43x6.46x3.99 mm
1.06,Excellent,K,VVS1,62.1,59.0,"$4,970",6.49x6.52x4.04 mm
1.00,Very Good,I,VVS2,64.2,57.0,"$5,690",6.21x6.25x4 mm
1.12,Excellent,J,VS2,61.9,58.0,"$5,250",6.65x6.67x4.12 mm
1.50,Very Good,G,SI2,62.9,56.0,"$7,640",7.28x7.3x4.58 mm
1.24,Very Good,I,VVS2,57.8,63.0,"$5,120",7.03x7.06x4.07 mm
1.01,Very Good,G,VVS1,64.9,57.0,"$5,290",6.24x6.28x4.06 mm
1.50,Very Good,F,SI2,63.7,59.0,"$7,810",7.16x7.21x4.57 mm
1.50,Very Good,J,VS2,62.7,61.0,"$6,320",7.19x7.24x4.52 mm
1.00,Good,G,VVS2,64.7,55.0,"$4,760",6.18x6.23x4.01 mm
